Субъект;Последний год;Источник поступления данных в ЦЗЛ;Год первого поступления данных;Организация, проводившая обследования;Реестр ЛЗМ;Источник информации: 1-ИИ, 2-ИИ…5-ИИ;Приоритет проведения ЛЗМ;Способ проведения  государственного лесопатологического мониторинга:                                             1-ГЛПМ... 7-ГЛПМ;Оптимальные сроки проведения ЛЗМ;№ акта ЛПО;Внесение изменений;месяц для вновь выявленных или переоформленных;Дата внесения в реестр; Примечание к выделу (местоположение) ;Дата последнего изменеия в реестре;Год проведения лесоустройства;Дата обследования;широта;долгота;Лесничество;Участковое лесничество;Участок, урочище и т.п.;Квартал;Выдел;№ лесопатологического выдела;Площадь выдела, га;Целевое назначение лесов (код);Целевое назначение лесов по таксационным описаниям;Категория защитности;ОЗУ;ООПТ;Группа категория защитности;Состав;группа возраста;Возраст;Бонитет;Полнота;Запас на 1га, кбм;Транспортная доступность;Лесопользователь;Вид аренды ;Дата заключения договора;Срок аренды;год обследования;площадь обследования,га;№ разрешительного письма;площадь по ДЗЗ и ЛС,га;Вид СОМ 2015-2019;площадь СОМ 2015-2019, га;"Категория по форме ""Рослесхоз""";Главная порода;Повреждаемая порода;Код группы причин;Причина ослабления или гибели древостоя (1-ОЛПМ);Код повреждения по 1-ОЛПМ;Код второстепенной причины повреждения по 1-ОЛПМ;Год повреждения;Код защитности для приложения 2, 3;Прогноз;Повреждаемая порода по очагам 2-ОЛПМ;Код группы причины по 2-ОЛПМ;Виды вредителей и болезней (2-ОЛПМ);Код повреждения по 2-ОЛПМ;Фаза развития очага;Номер очага;общий отпад;степень усыхания;в т.ч. текущий;поврежденные (заселенные);Степень повреждения (заселения);Код признака, главный;% деревьев с наличием признака;Код признака второстепенный;% деревьев с наличием признака;Полнота, остающаяся после выборки деревьев, подлежащих рубке;Обеспечение лесовосстановления;Средневзвешенная категория состояния породы;Средневзвешенная категория состояния насаждения;Вид рекомендации;% деревьев от запаса подлежащий рубке;Погибшие;площадь рекомендации, га;запас рекомендованных,  куб. м;год гибели;Назначенные мероприятия текущего и прошедшего года;Площадь МЗЛ,га;запас МЗЛ, куб. м;Количество выбираемых деревьев (для РАД), шт.;Без признаков ослабления;Без признаков ослабления (Р);Ослабленные;Ослабленные (Р);Сильно ослабленные;Сильно ослабленные (Р);Усыхание;Усыхание (Р);Свежий сухостой;Свежий ветровал;Свежий бурелом;Старый сухостой;Старый ветровал;Старый бурелом;Площадь участка на конец декабря 2020 года;площадь, га (январь);запас, кмб. (январь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец января 2021 года;площадь, га (февраль);запас, кмб. (февраль);Площадь выдела с наличием ослабления (усыхания) древостоя на конец февраля 2021 года;площадь, га (март);запас, кмб. (март);Площадь выдела с наличием ослабления (усыхания) древостоя на конец марта 2021 года;площадь, га (апрель);запас, кмб. (апрель);Площадь выдела с наличием ослабления (усыхания) древостоя на конец апреля 2021 года;площадь, га (май);запас, кмб. (май);Площадь выдела с наличием ослабления (усыхания) древостоя на конец мая 2021 года;площадь, га (июнь);запас, кмб. (июнь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец июня 2021 года;площадь,га (июль);запас, кмб. (июль);Площадь выдела с наличием ослабления (усыхания) древостоя на конец июля 2021 года;площадь,га (август);запас, кмб. (август);Площадь выдела с наличием ослабления (усыхания) древостоя на конец августа 2021 года;площадь,га (сентябрь);запас, кмб. (сентябрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец сентября 2021 года;площадь,га (октябрь);запас, кмб. (октябрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец октября 2021 года;площадь, га (ноябрь);запас, кмб. (ноябрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец ноября 2021 года;площадь, га (декабрь);запас, кмб. (декабрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец декабря 2021 года;Вид МЗЛ c начала года;Площадь нарастающим итогом, га;Запас МЗЛ с начала года;Способ ЛПО;Ф.И.О. исполнителя работ;занесено Ф.И.О.;Источники данных (для реестра приложение 1.1);Примечание;Способ актуализации
Республика Хакасия;2007;Мониторинг 2007;;ЦЗЛ;;4-ИИ;1;1-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1999;2007;;;Абазинское;Абазинское;;73;25;;27;1;защ;132;;;3;4С4Л2Б;2;60;2;0,7;200;;Нет;;;;2007;27;;;;;Снеголом, снеговал прошлых лет;Со;Со;3;Воздействия тяжести снега, повлекшие сильный изгиб или слом стволов деревьев в прошлые годы;823;;2007;5;ухудшение;;;;;;;41,8;более 40%;;;;;;;;0,4;;;;300;41,8;;27;;;;;;;;;;;;;;;;;;;;;27;;;27;;;27;;;27;;;27;;;;;;;;;;;;;;;;;;;;;;;;27;;0;0;1;;;11;;
Республика Хакасия;2015;ЛПМ;;ЦЗЛ;;4-ИИ;1;1-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1999;2015;;;Абазинское;Абазинское;;74;3;;1;1;защ;132;;;3;6Б1Ос1К1С1Е+П;1;5;3;0,4;10;;"ООО ""Лес""";Заготовка древесины;;;2015;1;;;;;Антропогенные факторы;Бб;Бб;6;Механические повреждения стволов (антропогенные);703;;2015;5;улучшение;;;;;;;10;4,1-10%;7;;;;;;;0,4;;1,82;1,76;300;10;;1;;;;;;;57,6;;26,3;;6,1;;3;;0;4;0;0;3;;1;;;1;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;0;0;1;;;11;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;;;05.05.2018;;;1999;18.04.2018;52.395093;90.128845;Абазинское;Абазинское;;76;3;1;35;2;эксп;;;;;4Л2С4Б;4;140;3;0,4;150;;Нет;;;;2018;2,7;;2,7;;;Причина не установлена (по даным ДЗЗ);Лсб;Лсб;0;Причина не установлена (по даным ДЗЗ);0;;2017;;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,4;;;;371;11;;2,7;;;;;;;;;;;;;;;;;;;;;2,7;;;2,7;;;2,7;;;2,7;;;2,7;;;;;;;;;;;;;;;;;;;;;;;;2,7;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;;;05.05.2018;;;1999;18.04.2018;52.393811;90.133856;Абазинское;Абазинское;;76;10;1;70;2;эксп;;;;;4С3Л3Б;2;50;2;0,7;170;;Нет;;;;2018;43;;43;;;Причина не установлена (по даным ДЗЗ);Со;Со;0;Причина не установлена (по даным ДЗЗ);0;;2017;;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,6;;;;371;11;;43;;;;;;;;;;;;;;;;;;;;;43;;;43;;;43;;;43;;;43;;;;;;;;;;;;;;;;;;;;;;;;43;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;;;05.05.2018;;;1999;18.04.2018;52.394981;90.142675;Абазинское;Абазинское;;76;11;1;23;2;эксп;;;;;5С4Л1Б;3;100;2;0,5;190;;Нет;;;;2018;6,8;;6,8;;;Причина не установлена (по даным ДЗЗ);Со;Со;0;Причина не установлена (по даным ДЗЗ);0;;2017;;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,5;;;;371;11;;6,8;;;;;;;;;;;;;;;;;;;;;6,8;;;6,8;;;6,8;;;6,8;;;6,8;;;;;;;;;;;;;;;;;;;;;;;;6,8;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;;;05.05.2018;;;1999;18.04.2018;52.394382;90.140659;Абазинское;Абазинское;;76;12;1;14;2;эксп;;;;;6Б1ОС2С1К;1;20;3;0,4;30;;Нет;;;;2018;11,7;;11,7;;;Причина не установлена (по даным ДЗЗ);Бб;Бб;0;Причина не установлена (по даным ДЗЗ);0;;2017;;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,4;;;;371;11;;11,7;;;;;;;;;;;;;;;;;;;;;11,7;;;11,7;;;11,7;;;11,7;;;11,7;;;;;;;;;;;;;;;;;;;;;;;;11,7;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;;;05.05.2018;;;1999;18.04.2018;52.39516;90.147668;Абазинское;Абазинское;;76;13;1;50;2;эксп;;;;;4Л4С2Б;4;140;3;0,3;120;;Нет;;;;2018;18,3;;18,3;;;Причина не установлена (по даным ДЗЗ);Лсб;Лсб;0;Причина не установлена (по даным ДЗЗ);0;;2017;;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,3;;;;371;11;;18,3;;;;;;;;;;;;;;;;;;;;;18,3;;;18,3;;;18,3;;;18,3;;;18,3;;;;;;;;;;;;;;;;;;;;;;;;18,3;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;;;05.05.2018;;;1999;18.04.2018;52.39184;90.135238;Абазинское;Абазинское;;76;17;;15;2;эксп;;;;;6Б3Л1С;4;80;3;0,3;80;;Нет;;;;2018;15;;15;;;Причина не установлена (по даным ДЗЗ);Бб;Бб;0;Причина не установлена (по даным ДЗЗ);0;;2017;;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,3;;;;371;11;;15;;;;;;;;;;;;;;;;;;;;;15;;;15;;;15;;;15;;;15;;;;;;;;;;;;;;;;;;;;;;;;15;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада января - 3 декада декабря;;;;05.05.2018;;;1999;18.04.2018;52.390194;90.142009;Абазинское;Абазинское;;77;1;1;37;2;эксп;;;;;8С2Л;2;80;2;0,6;240;;Нет;;;;2018;12,1;;12,1;;;Причина не установлена (по даным ДЗЗ);Со;Со;0;Причина не установлена (по даным ДЗЗ);0;;2017;;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,5;;;;371;11;;12,1;;;;;;;;;;;;;;;;;;;;;12,1;;;12,1;;;12,1;;;12,1;;;12,1;;;;;;;;;;;;;;;;;;;;;;;;12,1;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;;;05.05.2018;;;1999;18.04.2018;52.386747;90.137721;Абазинское;Абазинское;;77;2;1;84;2;эксп;;;;;6Л3С1Б;2;80;1;0,7;260;;Нет;;;;2018;13,3;;13,3;;;Причина не установлена (по даным ДЗЗ);Лсб;Лсб;0;Причина не установлена (по даным ДЗЗ);0;;2017;;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,6;;;;371;11;;13,3;;;;;;;;;;;;;;;;;;;;;13,3;;;13,3;;;13,3;;;13,3;;;13,3;;;;;;;;;;;;;;;;;;;;;;;;13,3;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;;;05.05.2018;;;1999;18.04.2018;52.386154;90.145289;Абазинское;Абазинское;;77;3;1;25;2;эксп;;;;;5С3Л2Б;2;70;2;0,4;110;;Нет;;;;2018;10;;10;;;Причина не установлена (по даным ДЗЗ);Со;Со;0;Причина не установлена (по даным ДЗЗ);0;;2017;;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,4;;;;371;11;;10;;;;;;;;;;;;;;;;;;;;;10;;;10;;;10;;;10;;;10;;;;;;;;;;;;;;;;;;;;;;;;10;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;;;05.05.2018;;;1999;18.04.2018;52.392391;90.151588;Абазинское;Абазинское;;78;6;1;30;2;эксп;;;;;6С3Л1Б;2;60;2;0,5;170;;Нет;;;;2018;6;;6;;;Причина не установлена (по даным ДЗЗ);Со;Со;0;Причина не установлена (по даным ДЗЗ);0;;2017;;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,5;;;;371;11;;6;;;;;;;;;;;;;;;;;;;;;6;;;6;;;6;;;6;;;6;;;;;;;;;;;;;;;;;;;;;;;;6;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;;;05.05.2018;;;1999;18.04.2018;52.391676;90.149302;Абазинское;Абазинское;;78;10;1;40;2;эксп;;;;;7С3Л;2;70;2;0,7;250;;Нет;;;;2018;2,3;;2,3;;;Причина не установлена (по даным ДЗЗ);Со;Со;0;Причина не установлена (по даным ДЗЗ);0;;2017;;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,6;;;;371;11;;2,3;;;;;;;;;;;;;;;;;;;;;2,3;;;2,3;;;2,3;;;2,3;;;2,3;;;;;;;;;;;;;;;;;;;;;;;;2,3;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2008;ЛПТ 2008;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1999;2008;;;Абазинское;Абазинское;;85;17;;10;1;эксп;145;1;;3;3К3П2Л1С1Б;1;60;3;0,5;240;;Абазалесторг/ Лес;Заготовка древесины;;28.04.2008-28.04.2023;2008;10;;;;;Лесные пожары прошлых лет;Кс;Кс;1;Устойчивый низовой пожар более 10 летней давности;869;;1999;5;без изменений;;;;;;;39,7;10,1-40%;;;;;;;;0,3;;;;512;39,7;;10;952,8;;;;;;;;;;;;;;;;;;;;10;;;10;;;10;;;10;;;10;;;;;;;;;;;;;;;;;;;;;;;;10;;0;0;1;;;11;;
Республика Хакасия;2020;ЛПТ 2020;;ЦЗЛ;;4-ИИ;3;4-ГЛПМ;1 декада мая - 1 декада октября;;;;13.10.2020;;;1999;27.05.2020;52.363654;89.938716;Абазинское;Абазинское;;85;26;1;29;1;защ;132;;;3;4К3Л2П1Б+ОС;2;160;3;0,5;260;;Нет;;;;2020;15,1;;;;;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;374;2017;5;без изменений;;;;;;;4;до 4%;1;;;614;;;;0,5;;1,70;1,62;371;4;;15,1;;;;;;;50;;45;;1;;1;;0;0;;3;0;;15,1;;;15,1;;;15,1;;;15,1;;;15,1;;;;;;;;;;;;;;;;;;;;;;;;15,1;;0;0;2;Охримов А.М.;Линдт Е.А.;11;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;;;05.05.2018;;;1999;18.04.2018;52.346226;90.180959;Абазинское;Абазинское;;88;23;1;36;2;эксп;;;;;6Л1К3Б;3;90;1;0,5;190;;"ООО ""Лес""";Заготовка древесины;;28.04.2008-28.04.2023;2018;0,1;;0,1;;;Причина не установлена (по даным ДЗЗ);Лсб;Лсб;0;Причина не установлена (по даным ДЗЗ);0;;2017;;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,5;;;;371;11;;0,1;;;;;;;;;;;;;;;;;;;;;0,1;;;0,1;;;0,1;;;0,1;;;0,1;;;;;;;;;;;;;;;;;;;;;;;;0,1;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада января - 3 декада декабря;;;;05.05.2018;;;1999;18.04.2018;52.343373;90.181354;Абазинское;Абазинское;;88;29;1;68;1;эксп;145;1;;3;5К3П1Л1Б;3;230;3;0,6;320;;"ООО ""Лес""";Заготовка древесины;;28.04.2008-28.04.2023;2018;6,4;;6,4;;;Причина не установлена (по даным ДЗЗ);Кс;Кс;0;Причина не установлена (по даным ДЗЗ);0;;2017;5;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,5;;;;371;11;;6,4;;;;;;;;;;;;;;;;;;;;;6,4;;;6,4;;;6,4;;;6,4;;;6,4;;;;;;;;;;;;;;;;;;;;;;;;6,4;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада января - 3 декада декабря;;;;05.05.2018;;;1999;18.04.2018;52.338601;90.181412;Абазинское;Абазинское;;88;33;1;51;1;эксп;145;1;;3;6К2П1Л1Б;2;130;3;0,8;370;;"ООО ""Лес""";Заготовка древесины;;28.04.2008-28.04.2023;2018;28,4;;28,4;;;Причина не установлена (по даным ДЗЗ);Кс;Кс;0;Причина не установлена (по даным ДЗЗ);0;;2017;5;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,7;;;;371;11;;28,4;;;;;;;;;;;;;;;;;;;;;28,4;;;28,4;;;28,4;;;28,4;;;28,4;;;;;;;;;;;;;;;;;;;;;;;;28,4;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2020;ДН (ИФЛ);;ЦЗЛ;;1-ИИ;3;;1 декада мая - 1 декада октября;;;;03.12.2020;;;1999;29.05.2020;;;Абазинское;Абазинское;;102;10;1;93;2;эксп;;;;;10П;3;90;3;0,4;130;;Нет;;;;2020;10,7;;10,7;;;Лесные пожары прошлых лет;Пс;Пс;1;Лесные пожары (необследованные);850;;2017;;без изменений;;;;;;;70;более 40%;11;;;;;;;0,1;;;;370;70;Погибшие;10,7;1391;2020;;;;;;;;;;;;;;;;;;;10,7;;;10,7;;;10,7;;;10,7;;;10,7;;;;;;;;;;;;;;;;;;;;;;;;10,7;;0;0;1а;;Линдт Е.А.;21;ДН (ИФЛ) 2020 года, погибшие;
Республика Хакасия;2013;Экспедиция;;Московская экспедиция;;4-ИИ;3;6-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1999;2013;;;Абазинское;Абазинское;;107;11;;23;1;эксп;145;1;;3;4К2П2Л1Б1Ос+Е;2;100;3;0,5;300;;"ООО ""Лес""";Заготовка древесины;;;2013;23;;;;;Повреждение насекомыми;Кс;Кс;2;Стволовые вредители;300;;2013;5;без изменений;;;;;;;12;10,1-40%;4;;;;;;;0,4;;1,64;1,64;370;12;;23;;;;;;;76;;4;;8;;4;;0;0;;8;0;;23;;;23;;;23;;;23;;;23;;;;;;;;;;;;;;;;;;;;;;;;23;;0;0;1;;;11;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;;;05.05.2018;;;1999;18.04.2018;52.290581;90.208975;Абазинское;Абазинское;;110;23;1;26;1;эксп;145;1;;3;3К3П2Л2Б;3;240;3;0,4;210;;Нет;;;;2018;3,9;;3,9;;;Причина не установлена (по даным ДЗЗ);Кс;Кс;0;Причина не установлена (по даным ДЗЗ);0;;2017;5;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,4;;;;371;11;;3,9;;;;;;;;;;;;;;;;;;;;;3,9;;;3,9;;;3,9;;;3,9;;;3,9;;;;;;;;;;;;;;;;;;;;;;;;3,9;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;;;05.05.2018;;;1999;18.04.2018;52.2887;90.214839;Абазинское;Абазинское;;110;24;1;21;1;эксп;145;1;;3;4К2П3Л1Б;2;100;3;0,5;260;;Нет;;;;2018;2;;2;;;Причина не установлена (по даным ДЗЗ);Кс;Кс;0;Причина не установлена (по даным ДЗЗ);0;;2017;5;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,5;;;;371;11;;2;;;;;;;;;;;;;;;;;;;;;2;;;2;;;2;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;2;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;;;05.05.2018;;;1999;18.04.2018;52.285984;90.206534;Абазинское;Абазинское;;110;27;1;86;1;эксп;145;1;;3;4К3П2Л1Б;3;240;3;0,5;300;;Нет;;;;2018;20,9;;20,9;;;Причина не установлена (по даным ДЗЗ);Кс;Кс;0;Причина не установлена (по даным ДЗЗ);0;;2017;5;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,5;;;;371;11;;20,9;;;;;;;;;;;;;;;;;;;;;20,9;;;20,9;;;20,9;;;20,9;;;20,9;;;;;;;;;;;;;;;;;;;;;;;;20,9;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2020;визуальное ЛПО;2018;лесничество;;2-ИИ;3;;1 декада января - 3 декада декабря;;;;05.12.2018;;;1999;16.09.2020;;;Абазинское;Абазинское;;120;4;;131;1;эксп;145;1;;3;6К4П;3;200;3;0,6;310;;Нет;;;;2020;131;;;;;Повреждение насекомыми;Кс;Кс;2;Короед шестизубчатый;337;341;2015;5;ухудшение;;;;;;;25,4;10,1-40%;14,8;;;609;;610;;0,5;;2,47;2,19;371;25,4;;131;;;;;;;57,9;;9,3;;7,4;;7,2;;7,6;0;0;10,6;0;0;131;;;131;;;131;;;131;;;131;;;;;;;;;;;;;;;;;;;;;;;;131;;0;0;1;;Линдт Е.А.;32;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада мая - 1 декада октября;;;;05.05.2018;;;1999;18.04.2018;52.263811;89.93175;Абазинское;Абазинское;;125;8;1;63;1;защ;145;;;3;6Л2К2Б+П;3;140;3;0,7;290;;Нет;;;;2018;9,3;;9,3;;;Причина не установлена (по даным ДЗЗ);Лсб;Лсб;0;Причина не установлена (по даным ДЗЗ);0;;2017;5;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,6;;;;371;11;;9,3;;;;;;;;;;;;;;;;;;;;;9,3;;;9,3;;;9,3;;;9,3;;;9,3;;;;;;;;;;;;;;;;;;;;;;;;9,3;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2018;ДН;;ЦЗЛ;;1-ИИ;3;3-ГЛПМ;1 декада января - 3 декада декабря;;;;05.05.2018;;;1999;18.04.2018;52.263867;89.935526;Абазинское;Абазинское;;125;10;1;55;1;защ;145;;;3;7К2Л1П+Б;3;220;4;0,6;290;;Нет;;;;2018;1;;1;;;Причина не установлена (по даным ДЗЗ);Кс;Кс;0;Причина не установлена (по даным ДЗЗ);0;;2017;5;улучшение;;;;;;;11;10,1-40%;;;;;;;;0,5;;;;371;11;;1;;;;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;0;0;1а;;Линдт Е.А.;20;;
Республика Хакасия;2017;ЛПОВ;;лесничество;;2-ИИ;3;;1 декада мая - 1 декада октября;;;;05.12.2017;;;1999;2017;;;Абазинское;Абазинское;;128;9;;38;1;эксп;145;1;;3;9К1П+Л;3;180;3;0,5;270;;Нет;;;;2017;38;;;;;Болезни леса;Кс;Кс;4;Гнили стволовые;350;;2010;5;улучшение;;;;;;;10;4,1-10%;2;;;;;;;0,5;5К5П(25) 2,0м 2,0т,шт/га;1,45;1,45;370;10;;38;;;;;;;84;;5;;1;;2;;0;;;8;;;38;;;38;;;38;;;38;;;38;;;;;;;;;;;;;;;;;;;;;;;;38;;0;0;1;;;32;;
Республика Хакасия;2013;Экспедиция;;Московская экспедиция;;4-ИИ;3;6-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1999;2013;;;Абазинское;Абазинское;;128;22;;51;1;эксп;145;1;;3;5К2К3П+Л+Б;3;180;3;0,6;360;;"ООО ""Лес""";Заготовка древесины;;;2013;51;;;;;Повреждение насекомыми;Кс;Кс;2;Стволовые вредители;300;;2013;5;ухудшение;;;;;;;23;10,1-40%;2,5;;;;;;;0,5;;2,47;2,47;512;23;;51;4223;;;;;;39;;19;;19;;2,5;;0;0;;20,5;0;;51;;;51;;;51;;;51;;;51;;;;;;;;;;;;;;;;;;;;;;;;51;;0;0;1;;;11;;
Республика Хакасия;2013;Экспедиция;;Московская экспедиция;;4-ИИ;3;6-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1999;2013;;;Абазинское;Абазинское;;128;23;;63;1;эксп;145;1;;3;4К3П2П1Е+Б+Л;3;180;3;0,6;350;;"ООО ""Лес""";Заготовка древесины;;;2013;63;;;;;Повреждение насекомыми;Кс;Кс;2;Стволовые вредители;300;;2013;5;ухудшение;;;;;;;17;10,1-40%;4;;;;;;;0,5;;2,15;2,15;512;17;;63;3749;;;;;;50;;17;;16;;2;;2;0;;13;0;;63;;;63;;;63;;;63;;;63;;;;;;;;;;;;;;;;;;;;;;;;63;;0;0;1;;;11;;
Республика Хакасия;2017;ЛПОВ;;лесничество;;2-ИИ;3;;1 декада мая - 1 декада октября;;;;05.12.2017;;;1999;2017;;;Абазинское;Абазинское;;128;25;;55;1;эксп;145;1;;3;6К2П1Л1Б+Ос;2;160;3;0,6;310;;Нет;;;;2017;55;;;;;Болезни леса;Кс;Кс;4;Гнили стволовые;350;;2017;5;без изменений;;;;;;;21;10,1-40%;20;;;;;;;0,5;5К4П1Б(25) 2,0м 3,0т,шт/га;2,18;2,18;370;21;;55;;;;;;;47;;20;;12;;10;;10;;;1;;;55;;;55;;;55;;;55;;;55;;;;;;;;;;;;;;;;;;;;;;;;55;;0;0;1;;;32;;
Республика Хакасия;2018;ЛПОВ;;лесничество;;2-ИИ;3;;1 декада января - 3 декада декабря;59 от 09.08.2018;;;05.09.2018;;;1999;27.07.2018;;;Абазинское;Абазинское;;128;29;1;52;1;эксп;145;1;;3;10К+П;3;170;3;0,7;360;;Нет;;;;2018;14;;;;;Антропогенные факторы;Кс;Кс;6;Повреждение при сборе орехов;791;;2018;5;улучшение;;;;;;;8,9;4,1-10%;4,3;;;;;;;0,6;;1,80;1,76;370;8,9;;14;;;;;;;60;;19,9;;11,2;;2,3;;2;;;4,6;;;14;;;14;;;14;;;14;;;14;;;;;;;;;;;;;;;;;;;;;;;;14;;0;0;2;Нестерова Г.А.;;32;;
Республика Хакасия;2017;ЛПОВ;;лесничество;;2-ИИ;3;;1 декада мая - 1 декада октября;;;;05.12.2017;;;1999;2017;;;Абазинское;Абазинское;;128;33;;43;1;эксп;145;1;;3;2К2К2П2П1Е1Б;3;200;3;0,6;320;;Нет;;;;2017;43;;;;;Болезни леса;Кс;Кс;4;Гнили стволовые;350;;2017;5;без изменений;;;;;;;24;10,1-40%;22;;;;;;;0,5;4К4П2Е(20) 2,0м     3,0т.шт/га;2,37;2,37;370;24;;43;;;;;;;40;;21;;15;;10;;12;;;2;;;43;;;43;;;43;;;43;;;43;;;;;;;;;;;;;;;;;;;;;;;;43;;0;0;1;;;32;;
Республика Хакасия;2017;ЛПОВ;;лесничество;;2-ИИ;3;;1 декада мая - 1 декада октября;;;;05.12.2017;;;1999;2017;;;Абазинское;Абазинское;;128;34;;25;1;эксп;140;1;;3;3К1П1Е1Л3Б1Ос;2;130;5;0,3;100;;Нет;;;;2017;25;;;;;Болезни леса;Кс;Кс;4;Гнили стволовые;350;;2017;5;без изменений;;;;;;;23;10,1-40%;22;;;;;;;0,2;6К2П2Е(25) 2,0м           1,0 т.шт/га;2,27;2,27;370;23;;25;;;;;;;45;;17;;15;;12;;10;;;1;;;25;;;25;;;25;;;25;;;25;;;;;;;;;;;;;;;;;;;;;;;;25;;0;0;1;;;32;;
